Curries	CTL55W18 Tall Fridge - White	€199.99
Curries	CTT50W18 Mini Fridge - White	€79.99
Curries	CUL50W18 Undercounter Fridge - White	€119.99
Curries	RLA36P.1 Undercounter Fridge - White	€229.99
Curries	CWC8B15 Wine Cooler - Black	€69.99
Curries	LX5053S Undercounter Fridge - Silver	€169.99
Curries	LWC34B18 Wine Cooler - Black	€199.99
Curries	CUC50W18 70/30 Fridge Freezer - White	€129.99
Curries	Serie 6 KUR15A50GB Integrated Undercounter Fridge	€449.99
Curries	KTLD60X15 Tall Fridge - Stainless Steel	€529.99
Curries	HTLP130W Undercounter Fridge - White	€169.99
Curries	"LT-40CF890 Fire TV Edition 40"" Smart 4K Ultra HD HDR LED TV with Amazon Alexa"	€299.00
Curries	"49SM8200PLA 49"" Smart 4K Ultra HD HDR LED TV"	€579.00
Curries	"UE50RU7470UXXU 50"" Smart 4K Ultra HD HDR LED TV with Bixby"	€479.00
Curries	"32WL2A63DB 32"" Smart HD Ready LED TV"	€189.00
Curries	"50UM7450PLA 50"" Smart 4K Ultra HD HDR LED TV"	€419.00
Curries	"50U2963DB 50"" Smart 4K Ultra HD HDR LED TV"	€349.00
Curries	"QE55Q70RATXXU 55"" Smart 4K Ultra HD HDR QLED TV with Bixby"	€899.00
Curries	"UE32N5300AKXXU 32"" Smart Full HD LED TV"	€269.00
Curries	"UE50RU7020KXXU 50"" Smart 4K Ultra HD HDR LED TV"	€459.00
Curries	"40/138Q 40"" Smart LED TV"	€379.00
Curries	"UE58RU7100KXXU 58"" Smart 4K Ultra HD HDR LED TV"	€519.00
Curries	"L20HE18 20"" LED TV"	€99.99
Curries	"LT-49C790 49"" Smart LED TV"	€329.00
Curries	"4T-C40BJ5KF2FB 40"" Smart 4K Ultra HD HDR LED TV"	€349.00
Curries	"43UM7450PLA 43"" Smart 4K Ultra HD HDR LED TV"	€379.00
Curries	"UE43RU7470UXXU 43"" Smart 4K Ultra HD HDR LED TV with Bixby"	€449.00
Curries	"L32HE18 32"" LED TV"	€179.99
Curries	"75UM7000PLA 75"" Smart 4K Ultra HD HDR LED TV"	€949.00
Curries	"32LM6300PLA 32"" Smart Full HD HDR LED TV"	€279.00
Curries	"UE43RU7100KXXU 43"" Smart 4K Ultra HD HDR LED TV"	€369.00
DID	"Lenovo AMD A9-9425 15.6"" 8GB/256GB Laptop - Black | V145-81MT002"	€399.99
DID	"Toshiba Satellite Pro 14"" Intel Core i3 4GB/128GB Laptop - Cosmo Silver | R40-C-163"	€100.00
DID	"Lenovo AMD A9-9425 15.6"" 8GB/256GB Laptop - Black | 81MT00015UK"	€349.99
DID	"Lenovo Ideapad AMD A6-9220 Dual core 14"" 4GB/1TB Laptop - Denim Blue | 80XU002YUK"	€80.00
DID	"HP Intel Core i7 8565U 15.6"" 8GB/256GB Laptop - Dark Ash Silver | 6MP37ES"	€399.99
DID	"HP AMD A9-9425 15.6"" 4GB/128GB SSD Laptop - Dark Ash | 8AC00ES"	€100.00
DID	"HP AMD Ryzen 5 2500U 15.6"" 8GB/256GB Laptop | 8AB98ES"	€329.99
DID	"Asus VivoBook S15 Intel Core i5 8265U 15.6"" 8GB/256GB Laptop - Yellow & Grey | S530FA-EJ201T"	€649.99
DID	"Asus VivoBook 15 AMD Ryzen 5-3500U 15.6"" 8GB/256GB Laptop - Grey | X512DA-EJ254T"	€50.00
DID	"Asus VivoBook Intel Core I5-8265U 15.6"" 8GB/256GB Laptop - Grey | X509FA-EJ077T"	€399.99
DID	"Asus VivoBook 15 Intel Core i3 7020U 15.6"" 4GB/256GB Laptop - Grey | X509UA-EJ064T"	€50.00
DID	"Lenovo Ideapad S145 AMD Athlon  300U 14"" 4GB/128GB Laptop - Granite Black | 81UV0000UK"	€519.99
DID	"HP AMD Ryzen 3 2200U 15.6"" 8GB/256GB Laptop - Black | 8AB99ES"	€80.00
DID	"Lenovo Ideapad S145-14API AMD Ryzen 3 3200U 14"" 4GB/128GB Laptop - Granite Black | 81UV0002UK"	€649.99
DID	"Lenovo Ideapad S130 14"" Intel Celeron 4GB/64GB Laptop - Mineral Grey | 81J20076UK"	€649.99
DID	"Asus VivoBook 14"" Intel Celeron N4000 4GB/64GB Laptop - Grey | E406MA-BV009T"	€649.99
DID	"Microsoft Surface Go Intel Pentium 4415Y 10"" 8GB/128GB Laptop - Silver | JTW-00002"	€499.99
DID	"Asus TUF AMD Ryzen 5 3550H 15.6"" 8GB/256GB Gaming Laptop - Stealth Black | FX505DTAL-PKM"	€329.99
DID	"Asus TUF AMD Ryzen 5 3550H 17.3"" 8GB/512GB Gaming Laptop - Stealth Black | FX705DTAU-PKM"	€439.99
DID	"Asus ROG Strix Intel Core i5-9300H 15.6"" 8GB/512GB Gaming Laptop - Black | G531GTAL-PKH"	€60.00
